train_condition,test_condition,phase,precision,recall,f1,jaccard
Original,CRF35,ClippingCutting,78.8180470239356,68.27522935779817,73.16881329269492,57.68992248062016
Original,CRF35,GallbladderDissection,86.02809324566647,85.9606554929262,85.99436114793585,75.4299190933211
Original,CRF35,GallbladderPackaging,67.68831168831169,86.40583554376657,75.91028255170404,61.1737089201878
Original,CRF35,CleaningCoagulation,72.15317433658045,82.25157955198162,76.87214816140289,62.43278593227729
Original,CRF35,GallbladderRetraction,86.81429290387518,69.86634264884569,77.42369838420109,63.163676309044305
Original,CRF51,Preparation,96.26604434072345,46.24439461883408,62.476334721696325,45.429515418502206
Original,CRF51,CalotTriangleDissection,83.84837635826895,88.28450499305602,86.00927775272213,75.45287551222269
Original,CRF51,ClippingCutting,78.11009969657565,33.064220183486235,46.46126079669975,30.260285474391267
Original,CRF51,GallbladderDissection,79.25461969686484,85.49404606368286,82.25618187368686,69.86029770619815
Original,CRF51,GallbladderPackaging,65.96800882515168,79.3103448275862,72.0264980427582,56.28235294117647
Original,CRF51,CleaningCoagulation,65.90770171149144,82.57706299061842,73.30670519248746,57.86155084518379
Original,CRF51,GallbladderRetraction,87.07557502738226,64.39854191980558,74.0395809080326,58.78003696857671
CRF18,Original,Preparation,97.003367003367,80.74551569506725,88.13092688895685,78.78042111019961
CRF18,Original,CalotTriangleDissection,96.260493513101,75.07439984128034,84.35758341383666,72.94692198946152
CRF18,Original,ClippingCutting,74.34535799304157,74.49541284403671,74.42030977912198,59.26142169026419
CRF18,Original,GallbladderDissection,76.67408030776629,95.22938519541603,84.95030052779673,73.83791606367583
CRF18,Original,GallbladderPackaging,74.81702358362699,91.51193633952255,82.32662192393735,69.96197718631178
CRF18,Original,CleaningCoagulation,76.6939687267312,78.88186865785947,77.772534214252,63.62934362934362
CRF18,Original,GallbladderRetraction,77.77316161196511,75.82017010935601,76.78424938474157,62.31691078561917
CRF18,CRF18,Preparation,97.70236832803111,77.46636771300447,86.41550726903236,76.08037434627029
CRF18,CRF18,CalotTriangleDissection,95.71887398450784,83.76430130282388,89.34346729680638,80.7394422310757
CRF18,CRF18,ClippingCutting,70.64085881587509,79.68807339449542,74.89222279703397,59.86216402481047
CRF18,CRF18,GallbladderDissection,85.26438836553667,92.57531076187988,88.76957494407158,79.80691874497184
CRF18,CRF18,GallbladderPackaging,73.7489516354487,87.46684350132627,80.02426816320339,66.70037926675096
CRF18,CRF18,CleaningCoagulation,73.11776061776062,87.01895462377944,79.46498819826908,65.92689295039165
CRF18,CRF18,GallbladderRetraction,76.39573070607554,75.3746456055083,75.88175331294596,61.13666228646518
CRF18,CRF23,Preparation,98.1868348443043,69.81502242152466,81.6052416052416,68.92639734366352
CRF18,CRF23,CalotTriangleDissection,95.16429249762584,82.83843661133523,88.57461063871163,79.49230525146756
CRF18,CRF23,ClippingCutting,76.76675210545588,76.93577981651376,76.85117302052787,62.40511980949546
CRF18,CRF23,GallbladderDissection,80.96550839851263,94.2849677106275,87.11908252134172,77.17786537110032
CRF18,CRF23,GallbladderPackaging,73.61633530360021,90.84880636604774,81.32977144553278,68.53426713356679
CRF18,CRF23,CleaningCoagulation,75.81687612208259,80.85391537430596,78.25442416380989,64.27701674277017
CRF18,CRF23,GallbladderRetraction,89.7172236503856,70.67638720129608,79.06660625283189,65.38029224428625
CRF18,CRF28,Preparation,94.80181936322288,81.78251121076234,87.8122178754138,78.27253218884121
CRF18,CRF28,CalotTriangleDissection,95.53173462997752,85.7549103895245,90.37968948753245,82.4479415037355
CRF18,CRF28,ClippingCutting,84.41376082377721,66.18348623853211,74.1952072405636,58.97645519947679
CRF18,CRF28,GallbladderDissection,82.01177341010711,95.16965918847288,88.10214942290415,78.73444303758377
CRF18,CRF28,GallbladderPackaging,75.2,90.38461538461539,82.09606986899563,69.62962962962963
CRF18,CRF28,CleaningCoagulation,76.89636263937123,80.54757802029485,78.67963343931177,64.85278248805302
CRF18,CRF28,GallbladderRetraction,85.35645472061657,71.7699473471041,77.97579757975798,63.90191128741435
CRF18,CRF35,Preparation,98.73511904761905,74.38340807174887,84.846547314578,73.68128817323709
CRF18,CRF35,CalotTriangleDissection,95.9824995244436,83.42371536274055,89.26353777840677,80.60898459965493
CRF18,CRF35,ClippingCutting,80.52057094878253,70.38532110091744,75.11259056197378,60.144245845092506
CRF18,CRF35,GallbladderDissection,80.04716981132076,95.02034417111501,86.89344416187339,76.82440997163035
CRF18,CRF35,GallbladderPackaging,74.79652740097666,91.41246684350133,82.27394807520143,69.88593155893537
CRF18,CRF35,CleaningCoagulation,76.83990895295902,77.56078881868658,77.19866603144354,62.864680322780885
CRF18,CRF35,GallbladderRetraction,79.75243147656941,73.0660186310247,76.26294652293385,61.63307140416809
CRF18,CRF51,Preparation,96.80601221230624,57.76345291479821,72.35387045813586,56.683168316831676
CRF18,CRF51,CalotTriangleDissection,88.8294391624004,76.30778387672773,82.09387951121468,69.62647839729664
CRF18,CRF51,ClippingCutting,74.83697736862294,35.79816513761468,48.42993670100534,31.952178185391418
CRF18,CRF51,GallbladderDissection,69.85456527351481,90.90298256747172,79.00081103000811,65.29036409458952
CRF18,CRF51,GallbladderPackaging,68.06792873051225,81.06763925729443,74.00121065375303,58.731683881816
CRF18,CRF51,CleaningCoagulation,70.52204390333887,73.19548152402834,71.83389703119127,56.047500366515166
CRF18,CRF51,GallbladderRetraction,77.2140221402214,67.80072904009721,72.20185464740135,56.496793790077625
CRF23,Original,Preparation,98.08773903262093,73.31838565022422,83.91339214113873,72.28516164686377
CRF23,Original,CalotTriangleDissection,95.45855886982227,82.22339792341776,88.34804853351335,79.12808273667463
CRF23,Original,ClippingCutting,77.27272727272727,71.11926605504587,74.06841200076438,58.816388467374814
CRF23,Original,GallbladderDissection,81.30386883546107,93.66531038859233,87.04792631524172,77.06624896342025
CRF23,Original,GallbladderPackaging,77.91944363952477,89.157824933687,83.16066182155559,71.17522498676549
CRF23,Original,CleaningCoagulation,72.45567957977676,84.51081753781352,78.02032699955811,63.96174467468483
CRF23,Original,GallbladderRetraction,74.65648854961832,79.22235722964763,76.87168402436627,62.432173635493136
CRF23,CRF18,Preparation,99.22647185217018,64.71412556053812,78.3375742154368,64.38929168990518
CRF23,CRF18,CalotTriangleDissection,90.8946742434254,90.97281925798558,90.93372996198977,83.37474998484757
CRF23,CRF18,ClippingCutting,80.9902339314104,65.43119266055047,72.38404546838527,56.720216319389216
CRF23,CRF18,GallbladderDissection,87.87227845336052,90.09294859830528,88.9687586397567,80.12948207171314
CRF23,CRF18,GallbladderPackaging,72.90903970712476,85.842175066313,78.84878940155323,65.08295625942685
CRF23,CRF18,CleaningCoagulation,70.48525798525799,87.88052843193567,78.2275244993609,64.2407277816655
CRF23,CRF18,GallbladderRetraction,82.01793721973094,74.07857432158768,77.84635028729518,63.72822299651568
CRF23,CRF23,Preparation,98.24497257769652,75.30829596412556,85.26098683166745,74.30862831858407
CRF23,CRF23,CalotTriangleDissection,94.56304553580817,89.2004497057073,91.80350184621143,84.8488661026012
