condition,video,frames,accuracy,precision_macro,recall_macro,jaccard_macro,prec_Preparation,prec_CalotTriangleDissection,prec_ClippingCutting,prec_GallbladderDissection,prec_GallbladderPackaging,prec_CleaningCoagulation,prec_GallbladderRetraction,rec_Preparation,rec_CalotTriangleDissection,rec_ClippingCutting,rec_GallbladderDissection,rec_GallbladderPackaging,rec_CleaningCoagulation,rec_GallbladderRetraction,jac_Preparation,jac_CalotTriangleDissection,jac_ClippingCutting,jac_GallbladderDissection,jac_GallbladderPackaging,jac_CleaningCoagulation,jac_GallbladderRetraction
Original,video49,1671,0.9204069419509275,0.8894692917391708,0.901681217939754,0.8004979311829109,1.0,0.9071618037135278,0.6703296703296703,0.9675090252707581,0.851063829787234,0.9354838709677419,0.8947368421052632,0.6333333333333333,0.9023746701846965,0.9682539682539683,0.92573402417962,0.9195402298850575,0.9741602067183462,0.9883720930232558,0.6333333333333333,0.8260869565217391,0.6559139784946236,0.897822445561139,0.7920792079207921,0.9128329297820823,0.8854166666666666
Original,video50,1094,0.9040219378427788,0.7794354838709677,0.622718724570183,0.5574623681275562,1.0,0.8935483870967742,0.8125,0.9473684210526315,0.8026315789473685,0.0,1.0,0.13432835820895522,0.9702276707530648,0.7428571428571429,0.9759036144578314,1.0,0.0,0.5357142857142857,0.13432835820895522,0.869701726844584,0.6341463414634146,0.9257142857142857,0.8026315789473685,0.0,0.5357142857142857
Original,video51,2944,0.7296195652173914,0.8594024972417292,0.8169073853461651,0.7046598802141167,1.0,0.9676113360323887,0.8214285714285714,0.46985121378230227,0.9072164948453608,0.9042553191489362,0.9454545454545454,0.9327731092436975,0.6350752878653676,0.47310126582278483,0.9966777408637874,0.946236559139785,0.9090909090909091,0.8253968253968254,0.9327731092436975,0.6218560277536861,0.42898134863701576,0.4691164972634871,0.8627450980392157,0.8292682926829268,0.7878787878787878
Original,video52,1966,0.9404883011190234,0.9499465995030102,0.9373093344720662,0.8882411403074907,0.9734513274336283,0.8365896980461812,0.9914163090128756,0.9871134020618557,0.8701298701298701,0.9909255898366606,1.0,1.0,0.9936708860759493,0.7064220183486238,0.9770408163265306,1.0,0.9927272727272727,0.8913043478260869,0.9734513274336283,0.8321554770318021,0.7021276595744681,0.964735516372796,0.8701298701298701,0.9837837837837838,0.8913043478260869
Original,video53,3283,0.8681084374048127,0.7585746068110069,0.8654348675159754,0.6449061847782465,1.0,0.9811320754716981,0.4473684210526316,0.9976095617529881,0.2366412213740458,0.8267581475128645,0.8205128205128205,0.7910447761194029,0.8065693430656934,1.0,0.9392348087021756,1.0,0.8100840336134454,0.7111111111111111,0.7910447761194029,0.7942497753818508,0.4473684210526316,0.937125748502994,0.2366412213740458,0.6925287356321839,0.6153846153846154
Original,video54,3100,0.9212903225806451,0.9309108975675736,0.8739781698558763,0.8059876020493489,1.0,0.8551873198847262,0.9826589595375722,1.0,0.7156862745098039,0.9818913480885312,0.9809523809523809,0.496,1.0,0.8717948717948718,0.8485181119648738,1.0,0.9818913480885312,0.9196428571428571,0.496,0.8551873198847262,0.8585858585858586,0.8485181119648738,0.7156862745098039,0.9644268774703557,0.9035087719298246
Original,video55,1037,0.9247830279652844,0.8877056681702429,0.8730085956051136,0.7777552925741117,1.0,0.9544513457556936,0.8636363636363636,1.0,0.9038461538461539,0.5232558139534884,0.96875,1.0,1.0,0.7215189873417721,0.908256880733945,0.8703703703703703,0.9782608695652174,0.6326530612244898,1.0,0.9544513457556936,0.6477272727272727,0.908256880733945,0.7966101694915254,0.5172413793103449,0.62
Original,video56,1834,0.8047982551799345,0.8250476860227799,0.8151179572952776,0.6564736865131755,1.0,0.9143610013175231,0.6666666666666666,0.7124394184168013,0.5979381443298969,0.8839285714285714,1.0,0.38095238095238093,0.7797752808988764,1.0,0.8480769230769231,1.0,0.9519230769230769,0.7450980392156863,0.38095238095238093,0.7267015706806282,0.6666666666666666,0.6318051575931232,0.5979381443298969,0.8461538461538461,0.7450980392156863
Original,video57,2632,0.8514437689969605,0.8570074921185281,0.8863166015911517,0.7630743114913858,0.993006993006993,0.9940915805022157,0.4206896551724138,0.8999008919722498,0.8241758241758241,0.8671875,1.0,0.9793103448275862,0.686734693877551,0.9289340101522843,0.9816216216216216,0.9259259259259259,0.7762237762237763,0.9254658385093167,0.9726027397260274,0.6839430894308943,0.40757238307349664,0.884990253411306,0.7731958762886598,0.69375,0.9254658385093167
Original,video58,5993,0.6671116302352745,0.72775171519369,0.7485756565119502,0.5556331597971028,0.8837209302325582,0.9553903345724907,0.3111760409057706,0.6015843429636533,0.6704545454545454,0.8122866894197952,0.8596491228070176,0.475,0.5311485090050192,0.6320474777448071,0.973604826546003,1.0,0.8782287822878229,0.75,0.4470588235294118,0.5182944396427542,0.2634508348794063,0.5919303071985328,0.6704545454545454,0.7300613496932515,0.6681818181818182
Original,video59,1046,0.9550669216061185,0.9511916785591394,0.9030766852195423,0.8583651561605578,1.0,0.980561555075594,1.0,0.9329073482428115,0.9622641509433962,0.782608695652174,1.0,1.0,1.0,0.775,1.0,0.7727272727272727,0.9642857142857143,0.8095238095238095,1.0,0.980561555075594,0.775,0.9329073482428115,0.75,0.7605633802816901,0.8095238095238095
Original,video60,2532,0.6054502369668247,0.7219860293609273,0.7232407648175504,0.547537960193428,0.9472140762463344,0.9857456140350878,0.8068181818181818,0.0962671905697446,0.8666666666666667,0.47619047619047616,0.875,1.0,0.5056242969628797,0.8452380952380952,0.9245283018867925,0.9629629629629629,0.10638297872340426,0.717948717948718,0.9472140762463344,0.5019542155220548,0.7029702970297029,0.09551656920077972,0.8387096774193549,0.09523809523809523,0.6511627906976745
Original,video61,4409,0.8963483783170787,0.809766171343988,0.8199798906332577,0.6618498994418088,1.0,0.8058823529411765,0.9338842975206612,0.9762301918265222,0.3932038834951456,0.7868852459016393,0.7722772277227723,0.7410714285714286,0.9937823834196892,0.5916230366492147,0.915168100078186,1.0,0.6857142857142857,0.8125,0.7410714285714286,0.8018394648829431,0.5678391959798995,0.8952198852772466,0.3932038834951456,0.5783132530120482,0.6554621848739496
