condition,videos,frames_total,mean_video_accuracy,std_video_accuracy,mean_video_precision,mean_video_recall,mean_video_jaccard,phase_prec_Preparation,phase_prec_CalotTriangleDissection,phase_prec_ClippingCutting,phase_prec_GallbladderDissection,phase_prec_GallbladderPackaging,phase_prec_CleaningCoagulation,phase_prec_GallbladderRetraction,phase_rec_Preparation,phase_rec_CalotTriangleDissection,phase_rec_ClippingCutting,phase_rec_GallbladderDissection,phase_rec_GallbladderPackaging,phase_rec_CleaningCoagulation,phase_rec_GallbladderRetraction,phase_jac_Preparation,phase_jac_CalotTriangleDissection,phase_jac_ClippingCutting,phase_jac_GallbladderDissection,phase_jac_GallbladderPackaging,phase_jac_CleaningCoagulation,phase_jac_GallbladderRetraction
CRF18,32,76757,0.8755481610610749,0.07563104510944531,0.8274773899338181,0.8257571798423636,0.7060389607917339,0.9770236832803111,0.9571887398450784,0.7064085881587508,0.8526438836553668,0.737489516354487,0.7311776061776062,0.7639573070607554,0.7746636771300448,0.8376430130282388,0.7968807339449542,0.9257531076187988,0.8746684350132626,0.8701895462377943,0.7537464560550831,0.760803743462703,0.807394422310757,0.5986216402481047,0.7980691874497184,0.6670037926675095,0.6592689295039165,0.6113666228646518
CRF23,32,76757,0.8875768178285289,0.0626818013737987,0.8406262330285172,0.8258740019573454,0.7171691174072602,0.9824497257769652,0.9456304553580818,0.7718603814321698,0.871930514351074,0.7637818612922347,0.7090540751129811,0.8566159520516367,0.7530829596412556,0.892004497057073,0.7871559633027523,0.9105976333569749,0.8544429708222812,0.871146850469079,0.7525313892264075,0.7430862831858407,0.8484886610260121,0.6385829115808276,0.8031739760305544,0.6758457907159717,0.6417489421720733,0.6683453237410072
CRF28,32,76757,0.8929720243596275,0.06511815092383916,0.8403134648695154,0.8397019930027478,0.7253964115040502,0.9281218946671083,0.9458800585080449,0.7976045473000406,0.8807081285174895,0.73568281938326,0.753755364806867,0.7507142857142857,0.7853139013452914,0.8980887507439984,0.7209174311926605,0.9229534510433387,0.8859416445623343,0.8070074669730041,0.8513568246253544,0.7402906208718626,0.8541954962888414,0.6094307429812316,0.8203928595129073,0.6720321931589537,0.6386363636363637,0.6637196084622671
CRF35,32,76757,0.882014567766932,0.06665216676389685,0.830128349299164,0.8103882987172684,0.6984986911092028,0.9887843704775687,0.9471874667706377,0.7759336099585062,0.8530250347705146,0.6816460489775309,0.7433164424253014,0.8017582417582417,0.76597533632287,0.8836386482375505,0.7205504587155963,0.9157863302101609,0.8952254641909815,0.8144744399770247,0.7387606318347509,0.7593776048902473,0.8421467288541535,0.596445929526124,0.7909788496259995,0.6312836100070143,0.6356843992827257,0.6246575342465753
CRF51,32,76757,0.8073296533946287,0.11927242973695046,0.7810807226546064,0.7547639214324819,0.6207463855930686,0.9401313248358439,0.9401975868491376,0.762989095574086,0.7339753419616022,0.5965119019561631,0.6131616595135908,0.764424990051731,0.6821748878923767,0.7678394286092189,0.4365137614678899,0.8933517488521409,0.8391909814323607,0.8206011870572468,0.7780477926285946,0.6537738383024443,0.7320848702670324,0.3843916626272419,0.6748442038180639,0.5353214890016921,0.5406837391194651,0.6275726886638353
Original,32,76757,0.8675860041138326,0.0853283739571089,0.8323098383117755,0.8164910512535657,0.7020530871674466,0.9788786482334869,0.944653371320038,0.7012276045122761,0.8337024360781156,0.7377801782338644,0.7349958437240233,0.8359649122807018,0.7144058295964125,0.8223001124264269,0.7755963302752293,0.9274702303184142,0.9058355437665783,0.8464484013019338,0.7719724584852167,0.7035605851504279,0.7845042430360579,0.5829540752999586,0.7826744369191999,0.6852269877100576,0.6485257444623734,0.6704185719310587
