train_condition,test_condition,videos,frames_total,mean_video_accuracy,std_video_accuracy,mean_video_precision,mean_video_recall,mean_video_f1,mean_video_jaccard,phase_prec_Preparation,phase_rec_Preparation,phase_f1_Preparation,phase_jac_Preparation,phase_prec_CalotTriangleDissection,phase_rec_CalotTriangleDissection,phase_f1_CalotTriangleDissection,phase_jac_CalotTriangleDissection,phase_prec_ClippingCutting,phase_rec_ClippingCutting,phase_f1_ClippingCutting,phase_jac_ClippingCutting,phase_prec_GallbladderDissection,phase_rec_GallbladderDissection,phase_f1_GallbladderDissection,phase_jac_GallbladderDissection,phase_prec_GallbladderPackaging,phase_rec_GallbladderPackaging,phase_f1_GallbladderPackaging,phase_jac_GallbladderPackaging,phase_prec_CleaningCoagulation,phase_rec_CleaningCoagulation,phase_f1_CleaningCoagulation,phase_jac_CleaningCoagulation,phase_prec_GallbladderRetraction,phase_rec_GallbladderRetraction,phase_f1_GallbladderRetraction,phase_jac_GallbladderRetraction
CRF18,CRF35,32,76757,0.8690972922300662,0.07888628977474055,0.8256916518654035,0.7997890532414124,0.7846605272154195,0.6894539385618925,0.9873511904761905,0.7438340807174888,0.84846547314578,0.7368128817323709,0.959824995244436,0.8342371536274056,0.8926353777840678,0.8060898459965493,0.8052057094878253,0.7038532110091743,0.7511259056197377,0.601442458450925,0.8004716981132075,0.9502034417111501,0.8689344416187339,0.7682440997163035,0.7479652740097666,0.9141246684350133,0.8227394807520143,0.6988593155893537,0.7683990895295902,0.7756078881868658,0.7719866603144354,0.6286468032278089,0.7975243147656941,0.7306601863102471,0.7626294652293384,0.6163307140416809
CRF18,CRF51,32,76757,0.7861929343561227,0.13261167917106748,0.7704496712345326,0.6925207487067355,0.6813157969637785,0.5714076333324963,0.9680601221230625,0.5776345291479821,0.7235387045813586,0.5668316831683168,0.888294391624004,0.7630778387672773,0.8209387951121467,0.6962647839729664,0.7483697736862294,0.3579816513761468,0.4842993670100534,0.31952178185391417,0.6985456527351481,0.9090298256747172,0.7900081103000811,0.6529036409458953,0.6806792873051225,0.8106763925729443,0.7400121065375304,0.58731683881816,0.7052204390333887,0.7319548152402834,0.7183389703119127,0.5604750036651517,0.772140221402214,0.6780072904009721,0.7220185464740134,0.5649679379007763
CRF23,Original,32,76757,0.8628727154716481,0.08743408148813063,0.8332972151700528,0.8096666675124073,0.7933458313792445,0.6979105031758372,0.9808773903262092,0.7331838565022422,0.8391339214113873,0.7228516164686377,0.9545855886982226,0.8222339792341776,0.8834804853351335,0.7912808273667462,0.7727272727272727,0.7111926605504587,0.7406841200076438,0.5881638846737481,0.8130386883546108,0.9366531038859234,0.8704792631524172,0.7706624896342025,0.7791944363952478,0.89157824933687,0.8316066182155559,0.7117522498676548,0.7245567957977675,0.8451081753781352,0.7802032699955811,0.6396174467468483,0.7465648854961832,0.7922235722964763,0.7687168402436627,0.6243217363549314
CRF23,CRF18,32,76757,0.8770840371958675,0.06655512566369792,0.8404700259634776,0.7889834142849063,0.7818299216193689,0.6836913782789698,0.9922647185217017,0.6471412556053812,0.783375742154368,0.6438929168990518,0.908946742434254,0.9097281925798558,0.9093372996198976,0.8337474998484756,0.809902339314104,0.6543119266055046,0.7238404546838526,0.5672021631938922,0.8787227845336052,0.9009294859830528,0.8896875863975671,0.8012948207171314,0.7290903970712476,0.85842175066313,0.7884878940155323,0.6508295625942685,0.7048525798525799,0.8788052843193567,0.7822752449936089,0.642407277816655,0.8201793721973094,0.7407857432158769,0.7784635028729517,0.6372822299651568
CRF23,CRF23,32,76757,0.8875768178285289,0.0626818013737987,0.8406262330285172,0.8258740019573454,0.8095104805070369,0.7171691174072602,0.9824497257769652,0.7530829596412556,0.8526098683166745,0.7430862831858407,0.9456304553580818,0.892004497057073,0.9180350184621143,0.8484886610260121,0.7718603814321698,0.7871559633027523,0.7794331395348837,0.6385829115808276,0.871930514351074,0.9105976333569749,0.8908446846583646,0.8031739760305544,0.7637818612922347,0.8544429708222812,0.8065727699530516,0.6758457907159717,0.7090540751129811,0.871146850469079,0.781786941580756,0.6417489421720733,0.8566159520516367,0.7525313892264075,0.8012074169900819,0.6683453237410072
CRF23,CRF28,32,76757,0.8848237797768984,0.0666018555659805,0.8496546320058109,0.809019723794219,0.7997153896200455,0.7058720545545623,0.9502743484224966,0.7766255605381166,0.8547193090684763,0.7462967950444385,0.9336922447866975,0.9060908670061504,0.9196845108239636,0.8513110475953771,0.8992117117117117,0.5860550458715597,0.7096200844256831,0.5499311294765841,0.85901764890173,0.9211616708350442,0.8890049715397361,0.8001880735432407,0.7717201166180758,0.8776525198938993,0.8212845175302513,0.6967623058699658,0.7115779497709682,0.8625311123875168,0.7798165137614679,0.6390977443609023,0.7814920505503465,0.7764277035236938,0.7789516456724909,0.637936772046589
CRF23,CRF35,32,76757,0.8827260219670283,0.06555404606355271,0.8429163025845752,0.806098772332079,0.7979450337066596,0.7036932959270259,0.9920874152223059,0.7379484304932735,0.8463516554162649,0.7336305377542491,0.9335111911856421,0.8909132993849613,0.911714943151056,0.837753801187774,0.8374542124542125,0.6711926605504587,0.7451619474434711,0.5938311688311688,0.8484900362939122,0.9250438612863489,0.8851147423877131,0.7939065803805985,0.7667804323094426,0.8938992042440318,0.8254745866503368,0.7028154327424401,0.7430579362358588,0.8299827685238369,0.7841186578637968,0.6448973519785778,0.8031937850668969,0.7537464560550831,0.7776849143334726,0.6362393162393163
CRF23,CRF51,32,76757,0.7941230051922379,0.1014295966471233,0.7617696759359935,0.6654348316950603,0.6540490095810698,0.5370529293105311,0.977061376317421,0.44170403587443946,0.6083767612430033,0.4371705963938974,0.8636856653021238,0.816248925335626,0.8392975536779832,0.7230944987989923,0.7736842105263158,0.26972477064220185,0.4,0.25,0.7430557701220454,0.8977192131098585,0.813098015349765,0.6850591083891183,0.6354571984435797,0.8663793103448276,0.7331649831649831,0.5787375415282392,0.6725506072874494,0.7951368945050737,0.7287243376030882,0.5732229123533471,0.7677772252610642,0.625354394491697,0.6892857142857143,0.5258855585831063
CRF28,Original,32,76757,0.8834404269575646,0.0703085105721791,0.845091324237746,0.8156166744157123,0.8023303696190281,0.710796617321547,0.9800613496932515,0.7163677130044843,0.8277202072538861,0.7060773480662983,0.938569954087625,0.871999206401693,0.9040607483844427,0.8249186686686687,0.7661134697028175,0.728440366972477,0.7468021068472536,0.5959171419993996,0.8551636009012341,0.9492702228526634,0.8997629409475285,0.8177900694623103,0.744782034346103,0.9346816976127321,0.8289957359211881,0.7079357106981417,0.8212267113250994,0.7511008998659774,0.7845999999999999,0.6455487905216389,0.793854531310774,0.8266504657756176,0.8099206349206349,0.6805601867289096
CRF28,CRF18,32,76757,0.8819878391750072,0.06214447378941507,0.8484498974348573,0.7923408161500637,0.7858553501188337,0.6914346808001108,0.9942528735632183,0.5818385650224215,0.7340876944837341,0.5798882681564246,0.8891918455343838,0.9273857549103895,0.9078872829095382,0.8313128019681655,0.7895829010168085,0.6981651376146789,0.7410653422923362,0.588644801980198,0.8988192484776474,0.9036171562954944,0.9012118166080303,0.8201870298841228,0.7436893203883496,0.8889257294429708,0.8098474550672105,0.6804568527918782,0.7838855421686747,0.7972429638139,0.7905078310393925,0.6535865641186627,0.8215447154471545,0.8185500202511138,0.8200446337999594,0.6949793672627235
