train_condition,mean_accuracy_across_all_tests,worst_case_accuracy,mean_jaccard_across_all_tests,worst_case_jaccard
CRF18,85.25552334312921,78.61929343561226,67.481762341225,57.14076333324963
CRF23,86.4867729572035,79.41230051922379,67.42315464423645,53.70529293105311
CRF28,87.08975753340646,80.39666399562418,67.39083217256133,53.274544538614954
Original,85.82798899548946,81.31974939294358,65.36805400698331,56.424475140687406
CRF35,86.3121633657449,80.49798622897868,65.13834041432541,54.76623405393754
CRF51,82.22572992820312,78.07271138834768,59.59328303739009,54.66883959414941
