condition,self_accuracy,self_jaccard,mean_cross_accuracy,mean_cross_jaccard,accuracy_drop,jaccard_drop
Original,86.75860041138326,70.20530871674467,85.6418667123107,64.40060306503105,1.1167336990725545,5.804705651713618
CRF18,87.5548161061075,70.6038960791734,84.79566479053355,66.85733559363531,2.759151315573945,3.746560485538083
CRF23,88.7576817828529,71.71691174072602,86.03259119207361,66.56440322493852,2.7250905907792884,5.152508515787503
CRF28,89.29720243596276,72.53964115040502,86.64826855289519,66.36107037699259,2.6489338830675706,6.1785707734124315
CRF35,88.20145677669319,69.84986911092028,85.93430468355525,64.19603467500646,2.2671520931379376,5.653834435913822
CRF51,80.73296533946287,62.07463855930686,82.52428284595119,59.09701193300674,-1.7913175064883262,2.977626626300122
