train_condition,test_condition,video,frames,accuracy,precision_macro,recall_macro,f1_macro,jaccard_macro,prec_Preparation,rec_Preparation,f1_Preparation,jac_Preparation,prec_CalotTriangleDissection,rec_CalotTriangleDissection,f1_CalotTriangleDissection,jac_CalotTriangleDissection,prec_ClippingCutting,rec_ClippingCutting,f1_ClippingCutting,jac_ClippingCutting,prec_GallbladderDissection,rec_GallbladderDissection,f1_GallbladderDissection,jac_GallbladderDissection,prec_GallbladderPackaging,rec_GallbladderPackaging,f1_GallbladderPackaging,jac_GallbladderPackaging,prec_CleaningCoagulation,rec_CleaningCoagulation,f1_CleaningCoagulation,jac_CleaningCoagulation,prec_GallbladderRetraction,rec_GallbladderRetraction,f1_GallbladderRetraction,jac_GallbladderRetraction
CRF35,CRF18,video76,2649,0.7512268780671951,0.8422785076711906,0.6648910973885104,0.6567218215861177,0.5334809720795678,1.0,0.03333333333333333,0.06451612903225806,0.03333333333333333,0.8472775564409031,0.6904761904761905,0.760882528324389,0.6140519730510106,0.9642857142857143,0.4117647058823529,0.5770992366412213,0.4055793991416309,0.6752255378209576,0.9624134520276953,0.7936378466557912,0.6578769438810007,0.5433070866141733,1.0,0.7040816326530613,0.5433070866141733,0.8658536585365854,0.7395833333333334,0.797752808988764,0.6635514018691588,1.0,0.8166666666666667,0.8990825688073394,0.8166666666666667
CRF35,CRF18,video77,2502,0.9020783373301359,0.8707605005164661,0.8375560564464043,0.8087615525100029,0.708355870653354,1.0,0.3068181818181818,0.46956521739130436,0.3068181818181818,0.8279569892473119,1.0,0.9058823529411765,0.8279569892473119,1.0,0.7482014388489209,0.8559670781893004,0.7482014388489209,0.9817007534983854,0.9923830250272034,0.9870129870129871,0.9743589743589743,0.7934782608695652,1.0,0.8848484848484849,0.7934782608695652,1.0,0.8154897494305239,0.8983688833124216,0.8154897494305239,0.4921875,1.0,0.6596858638743456,0.4921875
CRF35,CRF18,video78,739,0.8064952638700947,0.8419095766463608,0.6369913137525661,0.6671887025646839,0.5344458349952855,1.0,0.38636363636363635,0.5573770491803279,0.38636363636363635,0.8520710059171598,1.0,0.9201277955271566,0.8520710059171598,0.975609756097561,0.625,0.7619047619047619,0.6153846153846154,0.75,1.0,0.8571428571428571,0.75,0.6823529411764706,0.9206349206349206,0.7837837837837838,0.6444444444444445,0.6333333333333333,0.2602739726027397,0.36893203883495146,0.2261904761904762,1.0,0.26666666666666666,0.4210526315789474,0.26666666666666666
CRF35,CRF18,video79,3414,0.8796133567662566,0.8551297527463406,0.6988932797452746,0.7215995380955994,0.5979524869202447,1.0,0.3333333333333333,0.5,0.3333333333333333,0.9668615984405458,0.9514066496163683,0.9590718659361909,0.9213622291021671,0.823943661971831,0.8731343283582089,0.8478260869565217,0.7358490566037735,0.8662741799831791,0.9493087557603687,0.9058927000879508,0.8279742765273312,0.7207207207207207,0.7843137254901961,0.7511737089201878,0.6015037593984962,0.6081081081081081,0.7328990228013029,0.6646971935007385,0.497787610619469,1.0,0.26785714285714285,0.4225352112676056,0.26785714285714285
CRF35,CRF18,video80,1724,0.8625290023201856,0.751915967600781,0.6576253827177947,0.6580339975136974,0.5436719436632803,1.0,0.3333333333333333,0.5,0.3333333333333333,0.9485714285714286,0.9230769230769231,0.9356505401596995,0.8790820829655781,0.9380530973451328,0.803030303030303,0.8653061224489795,0.762589928057554,0.7337110481586402,0.9847908745247148,0.8409090909090909,0.7254901960784313,0.6056338028169014,0.9347826086956522,0.7350427350427351,0.581081081081081,0.05357142857142857,0.13636363636363635,0.07692307692307691,0.04,0.9838709677419355,0.488,0.6524064171122995,0.48412698412698413
CRF35,CRF23,video49,1671,0.9539198084979055,0.9348857724908146,0.9143296061217207,0.9167320620858934,0.8531726083634412,1.0,0.6222222222222222,0.7671232876712328,0.6222222222222222,0.9066985645933014,1.0,0.9510664993726474,0.9066985645933014,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.835820895522388,0.9964285714285714,0.9637305699481865,0.9798068481123793,0.9604130808950087,0.8235294117647058,0.9655172413793104,0.888888888888889,0.8,0.9894736842105263,0.9715762273901809,0.9804432855280313,0.9616368286445013,0.8947368421052632,0.9883720930232558,0.9392265193370165,0.8854166666666666
CRF35,CRF23,video50,1094,0.9095063985374772,0.8039595412604005,0.5778880690182031,0.6188362051616785,0.5261452919221028,1.0,0.208955223880597,0.345679012345679,0.208955223880597,0.8906497622820919,0.9842381786339754,0.9351081530782028,0.878125,1.0,0.5142857142857142,0.6792452830188679,0.5142857142857142,0.9678362573099415,0.9969879518072289,0.9821958456973293,0.9650145772594753,0.7692307692307693,0.9836065573770492,0.8633093525179856,0.759493670886076,0.0,0.0,0.0,0.0,1.0,0.35714285714285715,0.5263157894736842,0.35714285714285715
CRF35,CRF23,video51,2944,0.7676630434782609,0.8713479683986279,0.7796950542805813,0.7755353335091675,0.6607689011442508,1.0,0.9117647058823529,0.9538461538461539,0.9117647058823529,0.9850746268656716,0.8768821966341895,0.9278350515463918,0.8653846153846154,0.9953917050691244,0.34177215189873417,0.508833922261484,0.3412322274881517,0.4858757062146893,1.0,0.6539923954372624,0.4858757062146893,0.8584905660377359,0.978494623655914,0.914572864321608,0.8425925925925926,0.9888888888888889,0.47593582887700536,0.6425992779783393,0.4734042553191489,0.7857142857142857,0.873015873015873,0.8270676691729324,0.7051282051282052
CRF35,CRF23,video52,1966,0.8799593082400814,0.874466384662458,0.9063231846570047,0.8763280093084715,0.7854185967468804,0.9732142857142857,0.990909090909091,0.9819819819819819,0.9646017699115044,0.839572192513369,0.9936708860759493,0.9101449275362319,0.8351063829787234,0.9954337899543378,0.6666666666666666,0.7985347985347986,0.6646341463414634,0.8029045643153527,0.9872448979591837,0.88558352402746,0.7946611909650924,0.6442307692307693,1.0,0.7836257309941521,0.6442307692307693,0.990909090909091,0.7927272727272727,0.8808080808080808,0.7870036101083032,0.875,0.9130434782608695,0.8936170212765957,0.8076923076923077
CRF35,CRF23,video53,3283,0.9171489491318916,0.8425733628666271,0.8386827782620286,0.8103183668860374,0.7065107511902531,1.0,0.6716417910447762,0.8035714285714287,0.6716417910447762,0.9694656488549618,0.927007299270073,0.9477611940298507,0.900709219858156,0.8723404255319149,0.9647058823529412,0.9162011173184357,0.845360824742268,0.9300648882480173,0.967741935483871,0.948529411764706,0.9020979020979021,0.37575757575757573,1.0,0.5462555066079295,0.37575757575757573,0.9572815533980582,0.8285714285714286,0.8882882882882883,0.7990275526742301,0.7931034482758621,0.5111111111111111,0.6216216216216216,0.45098039215686275
